"datetime","value"
"2019-06-20T00:05:00+00:00","20.3"
"2019-06-20T00:15:00+00:00","20.4"
"2019-06-20T00:25:00+00:00","20.4"
"2019-06-20T00:35:00+00:00","20.5"
"2019-06-20T00:45:00+00:00","20.5"
"2019-06-20T00:55:00+00:00","20.7"
"2019-06-20T01:05:00+00:00","20.8999996185"
"2019-06-20T01:15:00+00:00","21.2"
"2019-06-20T01:25:00+00:00","21.5"
"2019-06-20T01:35:00+00:00","21.8"
"2019-06-20T01:45:00+00:00","21.9"
"2019-06-20T01:55:00+00:00","22"
"2019-06-20T02:05:00+00:00","22.2"
"2019-06-20T02:15:00+00:00","22.5"
"2019-06-20T02:25:00+00:00","23"
"2019-06-20T02:35:00+00:00","23.2"
"2019-06-20T02:45:00+00:00","23.3"
"2019-06-20T02:55:00+00:00","23.4"
"2019-06-20T03:05:00+00:00","23.4"
"2019-06-20T03:15:00+00:00","23.6000003815"
"2019-06-20T03:25:00+00:00","24"
"2019-06-20T03:35:00+00:00","24.1"
"2019-06-20T03:45:00+00:00","24"
"2019-06-20T03:55:00+00:00","24.2"
"2019-06-20T04:05:00+00:00","24.4"
"2019-06-20T04:15:00+00:00","24.3"
"2019-06-20T04:25:00+00:00","24.5"
"2019-06-20T04:35:00+00:00","24.9"
"2019-06-20T04:45:00+00:00","25.6"
"2019-06-20T04:55:00+00:00","26.5"
"2019-06-20T05:05:00+00:00","26.9"
"2019-06-20T05:15:00+00:00","27.6"
"2019-06-20T05:25:00+00:00","28.4"
"2019-06-20T05:35:00+00:00","27.8"
"2019-06-20T05:45:00+00:00","28.6"
"2019-06-20T05:55:00+00:00","29.3"
"2019-06-20T06:05:00+00:00","29.3"
"2019-06-20T06:15:00+00:00","28.2"
"2019-06-20T06:25:00+00:00","29.1"
"2019-06-20T06:35:00+00:00","28.4"
"2019-06-20T06:45:00+00:00","28.4"
"2019-06-20T06:55:00+00:00","28.6"
"2019-06-20T07:05:00+00:00","28.1"
"2019-06-20T07:15:00+00:00","27.8"
"2019-06-20T07:25:00+00:00","28.5"
"2019-06-20T07:35:00+00:00","28.9"
"2019-06-20T07:45:00+00:00","29.3"
"2019-06-20T07:55:00+00:00","28.6"
"2019-06-20T08:05:00+00:00","29.1"
"2019-06-20T08:15:00+00:00","28"
"2019-06-20T08:25:00+00:00","28.2"
"2019-06-20T08:35:00+00:00","29.4"
"2019-06-20T08:45:00+00:00","28.7"
"2019-06-20T08:55:00+00:00","28.2999992371"
"2019-06-20T09:05:00+00:00","28.9"
"2019-06-20T09:15:00+00:00","29.1"
"2019-06-20T09:25:00+00:00","28.5"
"2019-06-20T09:35:00+00:00","28.5"
"2019-06-20T09:45:00+00:00","28.4"
"2019-06-20T09:55:00+00:00","29.7000007629"
"2019-06-20T10:05:00+00:00","29.3"
"2019-06-20T10:15:00+00:00","29.6"
"2019-06-20T10:25:00+00:00","29.9"
"2019-06-20T10:35:00+00:00","29.9"
"2019-06-20T10:45:00+00:00","29.6"
"2019-06-20T10:55:00+00:00","29.5"
"2019-06-20T11:05:00+00:00","29.4"
"2019-06-20T11:15:00+00:00","29.4"
"2019-06-20T11:25:00+00:00","29.2"
"2019-06-20T11:35:00+00:00","28.4"
"2019-06-20T11:45:00+00:00","28.4"
"2019-06-20T11:55:00+00:00","28.3"
"2019-06-20T12:05:00+00:00","28.1"
"2019-06-20T12:15:00+00:00","27.8"
"2019-06-20T12:25:00+00:00","27.6"
"2019-06-20T12:35:00+00:00","26.9"
"2019-06-20T12:45:00+00:00","26.2"
"2019-06-20T12:55:00+00:00","25.7"
