"datetime","value"
"2019-06-21T00:05:00+00:00","29.3999996185"
"2019-06-21T00:15:00+00:00","28.2"
"2019-06-21T00:25:00+00:00","27.3"
"2019-06-21T00:35:00+00:00","22.7"
"2019-06-21T00:45:00+00:00","27.1"
"2019-06-21T00:55:00+00:00","21.7"
"2019-06-21T01:05:00+00:00","21.2"
"2019-06-21T01:15:00+00:00","17.1"
"2019-06-21T01:25:00+00:00","16.2"
"2019-06-21T01:35:00+00:00","14.8"
"2019-06-21T01:45:00+00:00","14.1"
"2019-06-21T01:55:00+00:00","15.8"
"2019-06-21T02:05:00+00:00","17.1"
"2019-06-21T02:15:00+00:00","14.2"
"2019-06-21T02:25:00+00:00","15.5"
"2019-06-21T02:35:00+00:00","14.6"
"2019-06-21T02:45:00+00:00","17.4"
"2019-06-21T02:55:00+00:00","18"
"2019-06-21T03:05:00+00:00","18.1"
"2019-06-21T03:15:00+00:00","18"
"2019-06-21T03:25:00+00:00","19.8"
"2019-06-21T03:35:00+00:00","17.3"
"2019-06-21T03:45:00+00:00","16.7"
"2019-06-21T03:55:00+00:00","22"
"2019-06-21T04:05:00+00:00","18.6"
"2019-06-21T04:15:00+00:00","18.4"
"2019-06-21T04:25:00+00:00","15.1"
"2019-06-21T04:35:00+00:00","17.8"
"2019-06-21T04:45:00+00:00","19"
"2019-06-21T04:55:00+00:00","17"
"2019-06-21T05:05:00+00:00","16.9"
"2019-06-21T05:15:00+00:00","17.6"
"2019-06-21T05:25:00+00:00","18.4"
"2019-06-21T05:35:00+00:00","16.9"
"2019-06-21T05:45:00+00:00","20"
"2019-06-21T05:55:00+00:00","16.7000007629"
"2019-06-21T06:05:00+00:00","18.1"
"2019-06-21T06:15:00+00:00","18.6"
"2019-06-21T06:25:00+00:00","17.9"
"2019-06-21T06:35:00+00:00","18.3"
"2019-06-21T06:45:00+00:00","20.1"
"2019-06-21T06:55:00+00:00","19.1"
"2019-06-21T07:05:00+00:00","17.3"
"2019-06-21T07:15:00+00:00","24.3"
"2019-06-21T07:25:00+00:00","19.3"
"2019-06-21T07:35:00+00:00","18.1"
"2019-06-21T07:45:00+00:00","19.4"
"2019-06-21T07:55:00+00:00","17.2"
"2019-06-21T08:05:00+00:00","20.3"
"2019-06-21T08:15:00+00:00","18.8"
"2019-06-21T08:25:00+00:00","18.7"
"2019-06-21T08:35:00+00:00","17.6"
"2019-06-21T08:45:00+00:00","16.2"
"2019-06-21T08:55:00+00:00","15.6"
"2019-06-21T09:05:00+00:00","15.2"
"2019-06-21T09:15:00+00:00","15.1"
"2019-06-21T09:25:00+00:00","13.7"
"2019-06-21T09:35:00+00:00","16.8"
"2019-06-21T09:45:00+00:00","15"
"2019-06-21T09:55:00+00:00","15.6"
"2019-06-21T10:05:00+00:00","16.9"
"2019-06-21T10:15:00+00:00","18.2"
"2019-06-21T10:25:00+00:00","17.6"
"2019-06-21T10:35:00+00:00","16.8"
"2019-06-21T10:45:00+00:00","20.4"
"2019-06-21T10:55:00+00:00","18.6"
"2019-06-21T11:05:00+00:00","18.3"
"2019-06-21T11:15:00+00:00","27.5"
"2019-06-21T11:25:00+00:00","30.8"
"2019-06-21T11:35:00+00:00","29.1"
"2019-06-21T11:45:00+00:00","31.4"
"2019-06-21T11:55:00+00:00","23.3"
"2019-06-21T12:05:00+00:00","29.2"
"2019-06-21T12:15:00+00:00","20.4"
"2019-06-21T12:25:00+00:00","22"
"2019-06-21T12:35:00+00:00","21.9"
"2019-06-21T12:45:00+00:00","22.3"
"2019-06-21T12:55:00+00:00","21.9"
"2019-06-21T13:05:00+00:00","25.8"
"2019-06-21T13:15:00+00:00","23.6"
"2019-06-21T13:25:00+00:00","18.4"
"2019-06-21T13:35:00+00:00","26.1"
"2019-06-21T13:45:00+00:00","27.2"
"2019-06-21T13:55:00+00:00","23.3"
"2019-06-21T14:05:00+00:00","28.5"
"2019-06-21T14:15:00+00:00","22.9"
"2019-06-21T14:25:00+00:00","21.4"
"2019-06-21T14:35:00+00:00","26.9"
"2019-06-21T14:45:00+00:00","16"
"2019-06-21T14:55:00+00:00","16.1"
"2019-06-21T15:05:00+00:00","15"
"2019-06-21T15:15:00+00:00","13"
"2019-06-21T15:25:00+00:00","12.9"
"2019-06-21T15:35:00+00:00","20.4"
"2019-06-21T15:45:00+00:00","11.7"
"2019-06-21T15:55:00+00:00","11.3"
"2019-06-21T16:05:00+00:00","10.5"
"2019-06-21T16:15:00+00:00","9.8"
"2019-06-21T16:25:00+00:00","10"
"2019-06-21T16:35:00+00:00","9.30000019073"
"2019-06-21T16:45:00+00:00","9.5"
"2019-06-21T16:55:00+00:00","10"
"2019-06-21T17:05:00+00:00","8.10000038147"
"2019-06-21T17:15:00+00:00","8.5"
"2019-06-21T17:25:00+00:00","8.1"
"2019-06-21T17:35:00+00:00","7.9"
"2019-06-21T17:45:00+00:00","7.4"
"2019-06-21T17:55:00+00:00","7.5"
"2019-06-21T18:05:00+00:00","7.7"
"2019-06-21T18:15:00+00:00","6.7"
"2019-06-21T18:25:00+00:00","7.1"
"2019-06-21T18:35:00+00:00","7"
"2019-06-21T18:45:00+00:00","6.4"
"2019-06-21T18:55:00+00:00","6.8"
"2019-06-21T19:05:00+00:00","6.5"
"2019-06-21T19:15:00+00:00","6.1"
"2019-06-21T19:25:00+00:00","6"
"2019-06-21T19:35:00+00:00","6.3"
"2019-06-21T19:45:00+00:00","6.2"
"2019-06-21T19:55:00+00:00","5.4"
"2019-06-21T20:05:00+00:00","5.6"
"2019-06-21T20:15:00+00:00","5"
"2019-06-21T20:25:00+00:00","5.3"
"2019-06-21T20:35:00+00:00","5.3"
"2019-06-21T20:45:00+00:00","5.5"
"2019-06-21T20:55:00+00:00","4.9"
"2019-06-21T21:05:00+00:00","5"
"2019-06-21T21:15:00+00:00","5.4"
"2019-06-21T21:25:00+00:00","5.1"
"2019-06-21T21:35:00+00:00","5.1"
"2019-06-21T21:45:00+00:00","5.1"
"2019-06-21T21:55:00+00:00","4.7000002861"
"2019-06-21T22:05:00+00:00","4.5"
"2019-06-21T22:15:00+00:00","4.5"
"2019-06-21T22:25:00+00:00","4.7"
"2019-06-21T22:35:00+00:00","4.6"
"2019-06-21T22:45:00+00:00","5"
"2019-06-21T22:55:00+00:00","4.3"
"2019-06-21T23:05:00+00:00","5"
"2019-06-21T23:15:00+00:00","4.6"
"2019-06-21T23:25:00+00:00","4.6"
"2019-06-21T23:35:00+00:00","4.4"
"2019-06-21T23:45:00+00:00","5"
