"datetime","value"
"2019-06-03T00:00:00+00:00","38.7999992371"
"2019-06-03T00:01:00+00:00","34.2999992371"
"2019-06-03T00:02:00+00:00","35.9000015259"
"2019-06-03T00:03:00+00:00","37.4000015259"
"2019-06-03T00:04:00+00:00","40.9000015259"
"2019-06-03T00:05:00+00:00","37.7999992371"
"2019-06-03T00:06:00+00:00","37.6000022888"
"2019-06-03T00:07:00+00:00","35.2999992371"
"2019-06-03T00:08:00+00:00","31.3999996185"
"2019-06-03T00:09:00+00:00","37.4000015259"
"2019-06-03T00:10:00+00:00","40.9000015259"
"2019-06-03T00:11:00+00:00","51.6000022888"
"2019-06-03T00:12:00+00:00","43.1000022888"
"2019-06-03T00:13:00+00:00","57.5"
"2019-06-03T00:14:00+00:00","42.1000022888"
"2019-06-03T00:15:00+00:00","52.9000015259"
"2019-06-03T00:16:00+00:00","45.5"
"2019-06-03T00:17:00+00:00","37.4000015259"
"2019-06-03T00:18:00+00:00","35.2000007629"
"2019-06-03T00:19:00+00:00","44.6000022888"
"2019-06-03T00:20:00+00:00","39.5"
"2019-06-03T00:21:00+00:00","43.7000007629"
"2019-06-03T00:22:00+00:00","44.7999992371"
"2019-06-03T00:23:00+00:00","58"
"2019-06-03T00:24:00+00:00","90.3000030518"
"2019-06-03T00:25:00+00:00","55.5"
"2019-06-03T00:26:00+00:00","53.1000022888"
"2019-06-03T00:27:00+00:00","42"
"2019-06-03T00:28:00+00:00","41.2000007629"
"2019-06-03T00:29:00+00:00","38.2000007629"
"2019-06-03T00:30:00+00:00","47.7999992371"
"2019-06-03T00:31:00+00:00","50.2000007629"
"2019-06-03T00:32:00+00:00","51.2000007629"
"2019-06-03T00:33:00+00:00","43.9000015259"
"2019-06-03T00:34:00+00:00","58.7000007629"
"2019-06-03T00:35:00+00:00","47.5"
"2019-06-03T00:36:00+00:00","40.5"
"2019-06-03T00:37:00+00:00","44.4000015259"
"2019-06-03T00:38:00+00:00","44.6000022888"
"2019-06-03T00:39:00+00:00","51.1000022888"
"2019-06-03T00:40:00+00:00","41.2999992371"
"2019-06-03T00:41:00+00:00","46.4000015259"
"2019-06-03T00:42:00+00:00","46.7999992371"
"2019-06-03T00:43:00+00:00","40.7999992371"
"2019-06-03T00:44:00+00:00","37.5"
"2019-06-03T00:45:00+00:00","42.4000015259"
"2019-06-03T00:46:00+00:00","45.2999992371"
"2019-06-03T00:47:00+00:00","47.1000022888"
"2019-06-03T00:48:00+00:00","54.7000007629"
"2019-06-03T00:49:00+00:00","58.2000007629"
"2019-06-03T00:50:00+00:00","57.1000022888"
"2019-06-03T00:51:00+00:00","49.6000022888"
"2019-06-03T00:52:00+00:00","45.5"
"2019-06-03T00:53:00+00:00","56.9000015259"
"2019-06-03T00:54:00+00:00","41.6000022888"
"2019-06-03T00:55:00+00:00","46"
"2019-06-03T00:56:00+00:00","51.7000007629"
"2019-06-03T00:57:00+00:00","50.5"
