"datetime","value"
"2019-04-26T00:00:58+00:00","34.7000007629"
"2019-04-26T00:01:58+00:00","33.5"
"2019-04-26T00:02:58+00:00","35"
"2019-04-26T00:03:58+00:00","39.5999984741"
"2019-04-26T00:04:58+00:00","37.7999992371"
"2019-04-26T00:05:58+00:00","35.7000007629"
"2019-04-26T00:06:56+00:00","36"
"2019-04-26T00:07:56+00:00","37.2000007629"
"2019-04-26T00:08:56+00:00","34.0999984741"
"2019-04-26T00:09:56+00:00","34.5"
"2019-04-26T00:10:56+00:00","38.0999984741"
"2019-04-26T00:11:56+00:00","36.9000015259"
"2019-04-26T00:12:56+00:00","38"
"2019-04-26T00:13:56+00:00","36.0999984741"
"2019-04-26T00:14:56+00:00","36.7000007629"
"2019-04-26T00:15:56+00:00","35.2000007629"
"2019-04-26T00:16:56+00:00","37.0999984741"
"2019-04-26T00:17:56+00:00","38.2000007629"
"2019-04-26T00:18:56+00:00","36.9000015259"
"2019-04-26T00:19:56+00:00","35.9000015259"
"2019-04-26T00:20:56+00:00","36.2000007629"
"2019-04-26T00:21:56+00:00","37.5999984741"
"2019-04-26T00:22:56+00:00","37.5"
"2019-04-26T00:23:56+00:00","38"
"2019-04-26T00:24:56+00:00","42.5999984741"
"2019-04-26T00:25:56+00:00","41.2999992371"
"2019-04-26T00:26:56+00:00","40.7999992371"
"2019-04-26T00:27:56+00:00","41.7999992371"
"2019-04-26T00:28:56+00:00","40.2000007629"
"2019-04-26T00:29:56+00:00","40.7999992371"
"2019-04-26T00:30:56+00:00","40.7000007629"
"2019-04-26T00:31:56+00:00","40.7000007629"
"2019-04-26T00:32:56+00:00","40.7000007629"
"2019-04-26T00:33:56+00:00","40.7999992371"
"2019-04-26T00:34:56+00:00","38.7000007629"
"2019-04-26T00:35:56+00:00","43.9000015259"
"2019-04-26T00:36:56+00:00","40.5999984741"
"2019-04-26T00:37:56+00:00","38.0999984741"
"2019-04-26T00:38:56+00:00","47.9000015259"
"2019-04-26T00:39:56+00:00","37.9000015259"
"2019-04-26T00:40:56+00:00","39.2999992371"
"2019-04-26T00:41:56+00:00","39"
"2019-04-26T00:42:56+00:00","41.5"
"2019-04-26T00:43:56+00:00","40.2000007629"
"2019-04-26T00:44:56+00:00","39.9000015259"
"2019-04-26T00:45:56+00:00","38.7000007629"
"2019-04-26T00:46:56+00:00","41.2000007629"
"2019-04-26T00:47:56+00:00","39.5"
"2019-04-26T00:48:56+00:00","44.9000015259"
"2019-04-26T00:49:56+00:00","39.2999992371"
"2019-04-26T00:50:56+00:00","40.2000007629"
"2019-04-26T00:51:56+00:00","40.2999992371"
"2019-04-26T00:52:56+00:00","42"
"2019-04-26T00:53:56+00:00","39.9000015259"
"2019-04-26T00:54:56+00:00","39.5999984741"
"2019-04-26T00:55:56+00:00","38.7000007629"
"2019-04-26T00:56:56+00:00","36.4000015259"
"2019-04-26T00:57:56+00:00","38.0999984741"
"2019-04-26T00:58:56+00:00","37.5999984741"
"2019-04-26T00:59:56+00:00","36.9000015259"
"2019-04-26T01:00:56+00:00","36.5"
"2019-04-26T01:01:56+00:00","35.9000015259"
"2019-04-26T01:02:56+00:00","38.0999984741"
"2019-04-26T01:03:56+00:00","34.5"
"2019-04-26T01:04:56+00:00","37.2999992371"
"2019-04-26T01:05:56+00:00","35.9000015259"
"2019-04-26T01:06:56+00:00","36.2000007629"
"2019-04-26T01:07:56+00:00","35.7999992371"
"2019-04-26T01:08:56+00:00","40"
"2019-04-26T01:09:56+00:00","37.2000007629"
"2019-04-26T01:10:56+00:00","43.5"
"2019-04-26T01:11:56+00:00","37.2999992371"
"2019-04-26T01:12:56+00:00","37.2000007629"
"2019-04-26T01:13:56+00:00","37.4000015259"
"2019-04-26T01:14:56+00:00","36.7000007629"
"2019-04-26T01:15:56+00:00","37.9000015259"
"2019-04-26T01:16:56+00:00","45.4000015259"
"2019-04-26T01:17:56+00:00","37.2000007629"
"2019-04-26T01:18:56+00:00","40.5999984741"
"2019-04-26T01:19:56+00:00","40.5"
"2019-04-26T01:20:56+00:00","44.7999992371"
"2019-04-26T01:21:56+00:00","42"
"2019-04-26T01:22:56+00:00","39.9000015259"
"2019-04-26T01:23:56+00:00","44.5"
"2019-04-26T01:24:56+00:00","40.7999992371"
"2019-04-26T01:25:56+00:00","43.4000015259"
"2019-04-26T01:26:56+00:00","52.5999984741"
"2019-04-26T01:27:56+00:00","43.2000007629"
